,titles,category,multi_category
0,주술회전 part  ,판타지,판타지 액션
1, 무삭제  귀멸의 칼날,판타지,판타지 액션
2,은혼  기,판타지,판타지 액션
3,전생했더니 슬라임이었던 건에 대하여  기,판타지,이세계 판타지
4,귀멸의 칼날   환락의 거리편,판타지,판타지 액션
5,주술회전 part  ,판타지,판타지 액션
6,전생했더니 슬라임이었던 건에 대하여  기  부,판타지,이세계 판타지
7,방패 용사 성공담 Season  ,판타지,이세계 판타지
8,지박소년 하나코 군,판타지,판타지 액션
9, 자막  나의 히어로 아카데미아  기,판타지,판타지 액션
10, 자막  나의 히어로 아카데미아  기,판타지,판타지 액션
11,전생했더니 슬라임이었던 건에 대하여  기  부,판타지,이세계 판타지
12, 자막  나의 히어로 아카데미아  기,판타지,판타지 액션
13,가정교사 히트맨 리본 ,판타지,판타지 액션
14,진격의 거인  기,판타지,판타지 액션
15, 자막  데스노트 리마스터,판타지,판타지 추리
16,도쿄 리벤저스 part  ,판타지,액션 드라마
17, 자막  나의 히어로 아카데미아  기,판타지,판타지 액션
18,코바야시네 메이드래곤,판타지,일상 개그
19,나루토  기,판타지,판타지 액션
