,titles,category,multi_category
0, 더빙  포켓몬스터   정글의 아이 코코,모험,판타지 액션
1, 더빙  내 친구 호비 part  ,모험,아동 모험
2, 더빙  내 친구 호비 part  ,모험,아동 모험
3,장화 신은 고양이 디 오리지널,모험,액션 개그
4, 더빙  매직빈,모험,판타지 액션
5, 더빙  터닝메카드W   반다인의 비밀,모험,액션 아동
6, 더빙  벅스봇 이그니션 part  ,모험,액션 아동
7,신밧드 더 무비,모험,판타지 아동
8,팩맨과 유령의 모험 시즌  ,모험,아동 개그
9, 더빙  벅스봇G,모험,액션 아동
10, 자막  원피스   에피소드 오브 스카이피아,모험,판타지 액션
11,게드 전기   어스시의 전설,모험,판타지 모험
12, 더빙  아기상어 올리와 윌리엄  하 ,모험,모험 아동
13, 더빙  테테루   테디베어 마을의 비밀,모험,판타지 아동
14, 더빙  고녀석 맛나겠다    함께라서 행복해,모험,아동 모험
15,꼬마 돌고래 뽀뚜와 빠오 시즌  ,모험,아동 모험
16, 더빙  갓파 쿠와 여름방학을,모험,아동 모험
17,신밧드    마법의 램프와 움직이는 섬,모험,판타지 아동
18, 자막  스파이즈,모험,판타지 액션
19, 더빙  체크 히어로,모험,아동 개그
