,titles,category,multi_category
0, 더빙  디지몬 어드벤처,아동,이세계 판타지
1, 더빙  포켓몬스터 썬 문,아동,판타지 액션
2,포켓몬스터 베스트위시,아동,판타지 액션
3, 자막  개구리 중사 케로로  기,아동,개그 SF
4,포켓몬스터 XY   Z,아동,판타지 액션
5,포켓몬스터 XY  기  기,아동,판타지 액션
6, 더빙  포켓몬스터W,아동,판타지 액션
7, 더빙  프리파라  기,아동,아동 음악
8,슈가슈가룬 part  ,아동,판타지 액션
9, 더빙  괴도 조커,아동,액션 아동
10, 더빙  쥬로링 동물탐정,아동,판타지 액션
11, 더빙  괴도 조커  기,아동,액션 아동
12,안녕  보노보노  기,아동,아동 일상
13,핑구 시즌  ,아동,아동 일상
14, 더빙  메탈 파이트 베이블레이드 폭,아동,판타지 액션
15,포켓몬스터 XY  기,아동,판타지 액션
16,포켓몬스터 XY  기,아동,판타지 액션
17, 더빙  메탈 파이트 베이블레이드,아동,판타지 액션
18, 더빙  프리파라  기 part  ,아동,아동 음악
19,디지몬 어드벤처 tri     장,아동,이세계 판타지
20, 더빙  메탈 파이트 베이블레이드  D,아동,판타지 액션
21, 자막  개구리 중사 케로로  기,아동,개그 SF
22, 더빙  프리파라  기 part  ,아동,아동 음악
23, 더빙  트로피컬 루즈  프리큐어,아동,판타지 액션
24,신 도라에몽  기,아동,아동 일상
25,신 도라에몽   기,아동,아동 일상
26,신비아파트   고스트볼의 비밀,아동,판타지 액션
27,숲의 요정 페어리루 part  ,아동,판타지 아동
28, 더빙  하트 캐치 프리큐어 ,아동,판타지 액션
29, 더빙  디지몬 유니버스 어플리 몬스터즈,아동,이세계 판타지
30, 더빙  닌자보이 란타로   기,아동,판타지 아동
31,신비아파트   고스트볼X의 탄생,아동,판타지 액션
32, 자막  개구리 중사 케로로  기,아동,개그 SF
33,게게게의 키타로 part  ,아동,판타지 액션
34, 더빙  마법사 프리큐어 ,아동,판타지 액션
35,숲의 요정 페어리루 part  ,아동,판타지 아동
36, 자막  디지몬 어드벤처 라스트 에볼루션   인연,아동,이세계 판타지
37,숲의 요정 페어리루 시즌   마법의거울 ,아동,판타지 아동
38, 자막  개구리 중사 케로로  기,아동,개그 SF
39, 더빙  소닉 X,아동,액션 아동
40, 더빙  마루코는 아홉살   part  ,아동,아동 일상
41,싸이보그 스필반,아동,아동
42,스낵월드,아동,판타지 액션
43,신 도라에몽 스페셜  기,아동,아동 일상
44,엉덩이 탐정 시즌  ,아동,개그 추리
45,신 도라에몽  기,아동,아동 일상
46,신 도라에몽  기,아동,아동 일상
47, 더빙  심쿵  프리큐어,아동,판타지 액션
48,시공전사 스필반,아동,아동
49,신 도라에몽  기,아동,아동 일상
