,titles,category,multi_category
0, 더빙  포켓몬스터   정글의 아이 코코,모험,판타지 액션
1, 더빙  내 친구 호비 part  ,모험,아동 모험
2, 더빙  내 친구 호비 part  ,모험,아동 모험
3,장화 신은 고양이 디 오리지널,모험,액션 개그
4, 더빙  매직빈,모험,판타지 액션
5, 더빙  터닝메카드W   반다인의 비밀,모험,액션 아동
6, 더빙  벅스봇 이그니션 part  ,모험,액션 아동
7,신밧드 더 무비,모험,판타지 아동
8,팩맨과 유령의 모험 시즌  ,모험,아동 개그
9, 더빙  벅스봇G,모험,액션 아동
10, 자막  원피스   에피소드 오브 스카이피아,모험,판타지 액션
11,게드 전기   어스시의 전설,모험,판타지 모험
12, 더빙  아기상어 올리와 윌리엄  하 ,모험,모험 아동
13, 더빙  테테루   테디베어 마을의 비밀,모험,판타지 아동
14, 더빙  고녀석 맛나겠다    함께라서 행복해,모험,아동 모험
15,꼬마 돌고래 뽀뚜와 빠오 시즌  ,모험,아동 모험
16, 더빙  갓파 쿠와 여름방학을,모험,아동 모험
17,신밧드    마법의 램프와 움직이는 섬,모험,판타지 아동
18, 자막  스파이즈,모험,판타지 액션
19, 더빙  체크 히어로,모험,아동 개그
20, 더빙  공룡메카드 스페셜   신비의 놀이동산,모험,액션 아동
21, 더빙  터닝메카드R 스페셜   동화의 나라,모험,액션 아동
22, 더빙  요괴메카드 스페셜,모험,액션 아동
23,신밧드    한낮의 밤과 수수께끼의 섬,모험,판타지 아동
24,캡틴 스터비,모험,아동 모험
25, 더빙  케어베어   풀려라  마법 ,모험,아동 모험
26, 더빙  하펫 꿈나라 모험,모험,모험 아동
27,놀이터 구조대 뽀잉 시즌  ,모험,아동 모험
28, 더빙  요술 상자,모험,판타지 아동
29, 더빙  새미의 어드벤쳐,모험,아동 모험
30, 더빙  호두까기 인형   장난감 왕국 대모험,모험,판타지 아동
31,에일리언 몽키스,모험,아동 모험
32, 더빙  언더더씨 ,모험,아동 모험
33, 더빙  오즈의 마법사   돌아온 도로시,모험,아동 판타지
34,눈사람 노먼,모험,아동 모험
35,볼츠와 블립 달나라 리그의 전투,모험,판타지 아동
36, 더빙  슈퍼윙스 랜선월드투어,모험,모험 아동
37, 더빙  빠샤메카드 스페셜,모험,액션 아동
38,놀이터 구조대 뽀잉 시즌  ,모험,아동 모험
39,원피스 스페셜    밀짚모자 루피 두목의 수사 기록,모험,판타지 액션
40, 더빙  치치핑핑 동물동요,모험,판타지 아동
41, 더빙  치치핑핑 공룡동요,모험,판타지 아동
42, 더빙  벅스봇 이그니션 스페셜,모험,액션 아동
43,꼬마 돌고래 뽀뚜와 빠오 시즌  ,모험,아동 모험
44, 자막  새미의 어드벤쳐,모험,아동 모험
45, 더빙  치치핑핑 시즌  ,모험,판타지 아동
46, 더빙  슈퍼윙스  D,모험,모험 아동
47, 더빙  극장판 햄토리 햄토리와 신기한 도깨비 그림탑,모험,아동 일상
48, 더빙  터키,모험,모험 개그
49, 자막  고녀석 맛나겠다    함께라서 행복해,모험,아동 모험
