,titles,category,multi_category
0,은혼  기,개그,판타지 액션
1,전생했더니 슬라임이었던 건에 대하여  기,개그,이세계 판타지
2, 자막  스파이 패밀리 part  ,개그,액션 개그
3,전생했더니 슬라임이었던 건에 대하여  기  부,개그,이세계 판타지
4,지박소년 하나코 군,개그,판타지 액션
5,그 비스크 돌은 사랑을 한다,개그,로맨스
6,전생했더니 슬라임이었던 건에 대하여  기  부,개그,이세계 판타지
7,가정교사 히트맨 리본 ,개그,판타지 액션
8,암살교실  기,개그,액션 개그
9, 자막  오란고교 사교클럽,개그,개그 로맨스
10,카구야 님은 고백받고 싶어  천재들의 연애 두뇌전   기,개그,일상 개그
11,코바야시네 메이드래곤,개그,일상 개그
12, 더빙  강철의 연금술사 BROTHERHOOD,개그,판타지 액션
13,코바야시네 메이드래곤 S,개그,일상 개그
14,여성향 게임의 파멸 플래그밖에 없는 악역 영애로 환생해버렸다   ,개그,이세계 판타지
15,암살교실  기,개그,액션 개그
16,카구야 님은 고백받고 싶어  천재들의 연애 두뇌전   기,개그,일상 개그
17, 더빙  오란고교 사교클럽,개그,개그 로맨스
18,슈퍼 시크릿,개그,판타지 로맨스
19,다 다 다 ,개그,일상 개그
