,titles,category,multi_category
0, 자막  오란고교 사교클럽,일상,개그 로맨스
1,카구야 님은 고백받고 싶어  천재들의 연애 두뇌전   기,일상,일상 개그
2,코바야시네 메이드래곤,일상,일상 개그
3,코바야시네 메이드래곤 S,일상,일상 개그
4,카구야 님은 고백받고 싶어  천재들의 연애 두뇌전   기,일상,일상 개그
5,슈퍼 시크릿,일상,판타지 로맨스
6,다 다 다 ,일상,일상 개그
7,월간순정 노자키 군,일상,일상 개그
8,카구야 님은 고백받고 싶어  울트라 로맨틱 ,일상,일상 개그
9,진정한 동료가 아니라고 용사 파티에서 쫓겨났기 때문에  변경에서 슬로우 라이프 하기로 했습니다,일상,판타지 일상
10, 더빙  짱구는 못말려   ,일상,일상 개그
11,신들에게 주워진 남자,일상,이세계 판타지
12,귀엽기만 한 게 아닌 시키모리 양,일상,로맨스 일상
13,바라카몬,일상,일상 개그
14,에미야 가의 오늘의 밥상,일상,판타지 일상
15,건어물 여동생 우마루짱,일상,일상 개그
16,이세계 식당,일상,이세계 판타지
17,미이라 사육법,일상,일상 개그
18,데스마치에서 시작되는 이세계 광상곡,일상,이세계 판타지
19,이세계 식당  기,일상,이세계 판타지
20, 등분의 신부  ,일상,일상 개그
21, 더빙  짱구는 못말려   ,일상,일상 개그
22,사카모토입니다만 ,일상,일상 개그
23, 자막  일하는 세포,일상,판타지 액션
24,즐겁게 놀아보세,일상,일상 개그
25, 등분의 신부,일상,일상 개그
26,나츠메 우인장  기,일상,드라마 판타지
27,아하렌 양은 알 수가 없어,일상,로맨스 개그
28,장난을 잘 치는 타카기 양  기,일상,일상 개그
29,보이는 여고생,일상,공포 개그
