,titles,category,multi_category
0,농민 관련 스킬만 올렸는데 어째서인지 강해졌다,판타지,판타지 하렘
1, 더빙  이누야샤  기,판타지,이세계 판타지
2, 더빙  토리코  기 part     판권 부활,판타지,판타지 액션
3,인게이지 키스,판타지,판타지 액션
4,나츠메 우인장  기,판타지,드라마 판타지
5, 더빙  원피스  기,판타지,판타지 액션
6, 자막  반요 야샤히메  기,판타지,판타지 액션
7, 자막  블랙 클로버  기,판타지,판타지 액션
8,헬싱 얼티메이트 OVA,판타지,판타지 액션
9,쓰르라미 울 적에 업 part  ,판타지,공포 성인
10,블리치  기,판타지,판타지 액션
11,아르슬란 전기  기,판타지,판타지 액션
12,후르츠 바스켓 더 파이널,판타지,판타지 로맨스
13, 더빙  페어리 테일  기,판타지,판타지 액션
14,악역 영애이기 때문에 최종 보스를 길러보았습니다,판타지,로맨스 판타지
15,불멸의 그대에게 part  ,판타지,판타지 드라마
16,학전도시 애스터리스크  기,판타지,판타지 액션
17,책벌레의 하극상  사서가 되기 위해서라면 뭐든지 할 수 있어   기,판타지,이세계 판타지
18,초인 고교생들은 이세계에서도 여유롭게 살아가나 봅니다 ,판타지,이세계 판타지
19,나츠메 우인장  기,판타지,드라마 판타지
